,index,vollcode,inwoners,werkzame_personen,studenten,bezoekers,verblijvers,oppervlakte_land_m2,oppervlakte_land_water_m2,verblijvers_ha_2016
39,39,F83,5897.0,982.53501369863,,4445.94054750005,11325.4755611987,232898.0,235272.0,486.284792535732
40,40,F84,14488.0,1192.56657534247,,4539.6172432405,20220.183818583,459192.0,521063.0,440.342684946231
41,41,F85,7990.0,867.912767123288,468.616438356164,4530.61521206835,13857.1444175478,622215.0,888129.0,222.706691698976
42,42,F86,12139.0,4670.34794520548,644.315068493151,6511.2622925,23964.9253061986,807666.0,819315.0,296.718263566854
43,43,F87,7837.0,5403.15901369863,571.38383164287,4231.6950272592,18043.2378726007,557372.0,630899.0,323.7198472941
44,44,F88,13977.0,7507.27989041096,286.865753424658,6495.09522798181,28266.2408718174,1621957.0,2584258.0,174.272442930469
45,45,F89,9666.0,5498.65808219178,46.0682840019569,5429.9108381008,20640.6372042945,444324.0,499138.0,464.540227498279
46,46,K23,2256.0,28170.5925479452,9632.87905205449,23961.4049007057,64020.8765007054,1129635.0,1187980.0,566.739491080795
47,47,K24,14871.0,4518.77863013699,,68085.3993053094,87475.1779354464,308345.0,356855.0,2836.92545478105
48,48,K25,12406.0,3375.14761643836,425.120547945205,19465.377060895,35671.6452252785,195632.0,226155.0,1823.40543598586
49,49,K26,8276.0,1059.27276712329,578.909589041096,4062.85073415193,13977.0330903163,153464.0,191423.0,910.769502314309
50,50,K44,11767.0,5087.51616438356,94.758904109589,7003.76671212725,23953.0417806204,321894.0,419464.0,744.128246584913
51,51,K45,3844.0,1968.59605479452,,1889.54313205707,7702.13918685159,91017.0,136684.0,846.230834553061
52,52,K46,5647.0,3153.69457534247,564.41095890411,3592.14679044576,12957.2523246923,420005.0,430336.0,308.502335083924
53,53,K47,12866.0,8430.22575342466,2028.55905366166,24430.8938308124,47755.6786378988,728062.0,771796.0,655.92873461187
54,54,K48,11646.0,2392.76789041096,111.987129403131,3820.42704349652,17971.1820633106,464700.0,581352.0,386.726534609654
55,55,K49,8764.0,3406.90750684931,1786.43835616438,6842.63945652724,20799.9853195409,419051.0,480845.0,496.359281317571
56,56,K52,14752.0,3164.53621917808,2005.41190454283,19624.3671780445,39546.3153017655,462443.0,479771.0,855.160858781849
57,57,K53,5360.0,828.791671232877,,1900.44437308866,8089.23604432153,125127.0,161860.0,646.482057775023
58,58,K54,9128.0,2278.65709589041,,3187.33122330238,14593.9883191928,515835.0,658297.0,282.91969950067
59,59,K59,1318.0,439.092273972603,655.545205479452,661.121940963463,3073.75942041552,115825.0,143563.0,265.379617562315
60,60,K90,12697.0,4869.78005479452,685.578082191781,17563.6644386613,35816.0225756476,1973117.0,2385296.0,181.520014148414
61,61,K91,7660.0,2280.97216438356,594.954521771037,3785.03078594099,14320.9574720956,1018235.0,1070445.0,140.644914701376
62,62,M27,5225.0,1603.54038356164,6035.94905901158,1593.02586075903,14457.5153033323,173249.0,253832.0,834.493434497876
63,63,M28,10957.0,4596.68032876712,7930.85514525098,7879.98846130563,31364.5239353237,472189.0,488580.0,664.236649632324
64,64,M29,9255.0,2671.11178082192,480.52602739726,36110.922128337,48517.5599365561,236464.0,257391.0,2051.79477368886
65,65,M30,9426.0,967.691506849315,,2364.43045499077,12758.1219618401,148598.0,158621.0,858.566196169537
66,66,M31,12590.0,1937.06695890411,,18010.2180984306,32537.2850573347,205950.0,219603.0,1579.86331912283
67,67,M32,10379.0,1357.75134246575,74.5643835616438,3442.27943273577,15253.5951587632,430360.0,786959.0,354.438032316274
68,68,M33,18495.0,7476.58564383562,,6028.0805467176,31999.6661905532,767262.0,3074955.0,417.063091754228
69,69,M34,1204.0,454.078246575342,236.120547945205,2067.92015342466,3962.11894794521,3353718.0,4347270.0,11.8141088426195
70,70,M35,14431.0,2621.10345205479,,4888.72729495453,21940.8307470093,1524659.0,3159665.0,143.906478412611
71,71,M51,7009.0,1172.55726027397,502.27397260274,1612.10682191781,10295.9380547945,686452.0,707055.0,149.987734827701
72,72,M55,11004.0,4694.83923287671,725.622600293542,16992.6872391186,33417.1490722889,2509678.0,2539640.0,133.15313387729
73,73,M56,15308.0,4708.37632876712,3009.57915647656,12467.4581984306,35493.4136836743,3825448.0,3944037.0,92.7823713292517
74,74,M57,3215.0,417.401863013699,,1667.24703561644,5299.64889863014,1777311.0,1796048.0,29.8183542364287
75,75,M58,3923.0,9766.83517808219,,1928.7600363497,15618.5952144319,1553531.0,1874293.0,100.536102687567
76,76,N60,9655.0,1423.03057534247,887.722402530513,15853.6118062228,27819.3647840958,604294.0,691476.0,460.361426459567
77,77,N61,8246.0,946.662136986301,243.157508556344,5136.60576841537,14572.425413958,489380.0,760705.0,297.773211286894
78,78,N62,3520.0,377.361863013699,,812.429831419602,4709.7916944333,159771.0,205271.0,294.783890345138
79,79,N63,1866.0,119.976109589041,,279.455145205479,2265.43125479452,64419.0,68969.0,351.671285613642
80,80,N64,1690.0,318.43802739726,,880.476451141553,2888.91447853881,33674.0,81651.0,857.906538735764
81,81,N65,11168.0,1350.6978630137,11.9852446183953,2212.45904706557,14743.1421546977,552047.0,642850.0,267.063169525379
82,82,N66,8764.0,928.687232876712,106.150684931507,2933.81247123805,12732.6503890463,1605957.0,1807436.0,79.2838811316011
83,83,N67,3036.0,371.019287671233,,978.129326027397,4385.14861369863,588100.0,657332.0,74.5646763084277
84,84,N68,13311.0,1288.46597260274,73.5040777886497,3744.4030341911,18417.3730845825,702026.0,735779.0,262.346025426159
85,85,N69,10956.0,2462.13161643836,880.791780821918,26027.6053913089,40326.5287885692,711440.0,736381.0,566.829652375031
86,86,N70,14186.0,1778.33589041096,109.775342465753,4591.3019582849,20665.4131911616,680151.0,787501.0,303.835665773653
87,87,N71,1692.0,8135.00964383562,338.852590508806,11876.2768258774,22042.1390602218,835342.0,2296311.0,263.869637348796
88,88,N72,164.0,2210.55276712329,,1026.76623561644,3401.31900273973,81074.0,506091.0,419.532649522624
89,89,N73,2211.0,626.721095890411,,914.07509285342,3751.79618874383,8639562.0,15774908.0,4.34257684445558
90,90,N74,2452.0,235.444602739726,650.193391774038,372.870487671233,3710.508482185,391998.0,422001.0,94.6563115675334
91,91,T92,438.0,34866.5342465753,2139.81249040664,24175.7236862633,61620.0704232453,691673.0,691673.0,890.884426936505
92,92,T93,23981.0,13751.1506849315,3659.37247174449,39521.5587377759,80913.0818944519,1310109.0,1310109.0,617.605725130138
93,93,T94,27260.0,2714.16065753425,918.480340088783,9057.716227355,39950.357224978,1817539.0,1871165.0,219.80467668082
94,94,T95,3012.0,568.290191780822,,1348.27555221595,4928.56574399678,739520.0,1181939.0,66.6454692773255
95,95,T96,18320.0,1610.9144109589,432.369863013699,7087.98395933529,27451.2682333079,807588.0,814925.0,339.916742612668
96,96,T97,11567.0,895.776219178082,,2767.81975498452,15230.5959741626,527617.0,535676.0,288.667650476816
97,97,T98,1479.0,144.904767123288,,298.019243835616,1921.9240109589,2310156.0,2512372.0,8.31945553009798
